  QueueTimes | ServiceTimes | SojournTimes
  293571.501 |       23.583 |   293595.084
  293593.572 |       25.455 |   293619.027
  293617.797 |       25.106 |   293642.903
  293640.128 |       25.120 |   293665.248
  293663.905 |       25.159 |   293689.064
  293688.988 |       25.009 |   293713.998
  293710.006 |        0.208 |   293710.214
  293709.047 |       24.872 |   293733.919
  293717.257 |       25.134 |   293742.391
  293739.205 |       25.105 |   293764.310
  293760.384 |       25.108 |   293785.492
  293784.933 |       25.108 |   293810.041
  293805.295 |       25.140 |   293830.435
  293826.544 |       25.004 |   293851.549
  293851.423 |       25.217 |   293876.640
  293876.101 |       25.082 |   293901.183
  293897.588 |       25.124 |   293922.713
  293920.669 |       25.135 |   293945.804
  293944.796 |       25.091 |   293969.887
  293968.717 |       25.122 |   293993.840
  293990.383 |       25.112 |   294015.495
  294013.418 |      911.638 |   294925.057
  294924.900 |       33.445 |   294958.345
  294957.013 |       33.418 |   294990.430
  294989.890 |       33.560 |   295023.449
  295019.831 |       33.365 |   295053.196
  295051.182 |       33.744 |   295084.926
  295082.841 |       33.389 |   295116.230
  295110.557 |       33.606 |   295144.163
  295141.094 |       33.352 |   295174.446
  295173.706 |       25.259 |   295198.964
  295196.297 |       24.978 |   295221.275
  295217.172 |       25.148 |   295242.319
  295241.416 |       25.034 |   295266.449
  295266.487 |        1.699 |   295268.186
  295259.173 |       23.398 |   295282.572
  295281.008 |       25.080 |   295306.088
  295305.290 |       25.166 |   295330.457
  295328.408 |       24.986 |   295353.394
  295353.167 |       25.145 |   295378.312
  295375.303 |       25.084 |   295400.387
  295398.423 |       25.042 |   295423.466
  295422.946 |       25.093 |   295448.039
  295447.162 |       25.235 |   295472.396
  295469.701 |       24.942 |   295494.643
  295490.184 |       25.022 |   295515.207
  295515.120 |       25.160 |   295540.281
  295540.316 |        0.246 |   295540.562
  295540.573 |       24.719 |   295565.292
  295560.016 |       25.092 |   295585.108
  295584.476 |       25.018 |   295609.494
  295606.398 |       25.010 |   295631.408
  295629.003 |       33.464 |   295662.467
  295660.235 |       25.021 |   295685.256
  295685.274 |       25.204 |   295710.478
  295710.303 |       24.963 |   295735.266
  295734.865 |       24.990 |   295759.855
  295757.897 |       25.203 |   295783.100
  295781.137 |       25.050 |   295806.187
  295804.809 |       25.068 |   295829.877
  295829.232 |       25.021 |   295854.253
  295851.592 |        0.214 |   295851.806
  295851.834 |        1.928 |   295853.762
  295849.845 |       31.361 |   295881.206
  295880.869 |       33.426 |   295914.295
  295910.744 |       33.315 |   295944.059
  295943.407 |        0.194 |   295943.600
  295934.498 |        1.479 |   295935.977
  295934.745 |       31.489 |   295966.234
  295956.000 |       33.416 |   295989.416
  295989.127 |       33.468 |   296022.595
  296021.662 |       33.454 |   296055.116
  296054.838 |       33.259 |   296088.097
  296079.249 |       33.455 |   296112.704
  296107.244 |       33.422 |   296140.667
  296139.135 |       33.535 |   296172.671
  296168.382 |        1.803 |   296170.186
  296170.013 |       31.763 |   296201.776
  296201.209 |       33.501 |   296234.710
  296231.597 |       33.255 |   296264.851
  296263.107 |       33.473 |   296296.580
  296296.486 |       33.377 |   296329.863
  296324.546 |       33.525 |   296358.071
  296357.417 |       33.356 |   296390.773
  296390.100 |       33.539 |   296423.639
  296423.512 |       33.457 |   296456.970
  296456.935 |       33.542 |   296490.477
  296479.427 |       33.326 |   296512.753
  296509.668 |       33.485 |   296543.153
  296542.566 |       33.504 |   296576.069
  296572.604 |       33.404 |   296606.008
  296604.118 |       33.487 |   296637.605
  296634.931 |       33.421 |   296668.353
  296664.773 |       33.370 |   296698.143
  296694.799 |       33.486 |   296728.285
  296725.627 |       33.368 |   296758.995
  296751.094 |       33.427 |   296784.521
  296783.405 |       33.566 |   296816.971
  296815.725 |       25.125 |   296840.850
  296840.181 |       24.986 |   296865.168
  296863.317 |        0.194 |   296863.510
  296862.931 |       24.891 |   296887.822
  296886.310 |       25.069 |   296911.379
  296911.331 |       25.140 |   296936.471
  296934.515 |        0.231 |   296934.746
  296933.802 |       24.851 |   296958.652
  296957.742 |       24.941 |   296982.683
  296980.003 |       25.110 |   297005.113
  297002.332 |       25.226 |   297027.558
  297022.270 |       24.920 |   297047.190
  297046.841 |       25.228 |   297072.068
  297070.909 |       25.084 |   297095.993
  297087.600 |       25.226 |   297112.827
  297110.879 |       24.963 |   297135.842
  297134.962 |       25.032 |   297159.994
  297158.604 |        1.911 |   297160.516
  297158.529 |       31.496 |   297190.025
  297187.042 |       33.319 |   297220.361
  297213.404 |       25.145 |   297238.548
  297237.425 |       25.258 |   297262.682
  297260.528 |       24.939 |   297285.467
  297283.553 |       25.020 |   297308.573
  297307.494 |       25.120 |   297332.614
  297329.346 |       25.500 |   297354.846
  297352.491 |       25.106 |   297377.597
  297371.183 |       25.064 |   297396.247
  297395.781 |        0.249 |   297396.030
  297394.713 |       24.811 |   297419.524
  297417.478 |       25.061 |   297442.540
  297442.452 |       25.174 |   297467.626
  297466.662 |       25.245 |   297491.907
  297491.607 |       24.966 |   297516.574
  297516.559 |       25.139 |   297541.699
  297537.821 |        0.192 |   297538.012
  297536.782 |       33.077 |   297569.860
  297569.633 |       33.354 |   297602.987
  297601.614 |       33.477 |   297635.091
  297634.706 |       33.462 |   297668.169
  297663.237 |       33.366 |   297696.603
  297695.523 |       33.460 |   297728.982
  297728.074 |       33.456 |   297761.529
  297761.376 |       33.361 |   297794.737
  297794.091 |       33.529 |   297827.620
  297826.781 |       33.356 |   297860.138
  297860.189 |       33.458 |   297893.647
  297891.249 |       33.421 |   297924.670
  297920.865 |       33.518 |   297954.383
  297949.895 |       33.474 |   297983.369
  297982.975 |       33.349 |   298016.324
  298015.840 |       33.372 |   298049.212
  298048.388 |       33.472 |   298081.861
  298081.290 |       33.387 |   298114.676
  298114.219 |       33.556 |   298147.776
  298146.030 |       33.403 |   298179.433
  298176.304 |       33.411 |   298209.715
  298208.821 |       33.457 |   298242.278
  298238.225 |       33.384 |   298271.608
  298268.371 |       33.409 |   298301.781
  298301.581 |       33.525 |   298335.106
  298334.190 |       33.361 |   298367.552
  298366.780 |       33.473 |   298400.253
  298400.308 |       33.482 |   298433.790
  298431.563 |       33.335 |   298464.898
  298464.856 |       33.551 |   298498.407
  298498.099 |       33.487 |   298531.586
  298522.575 |       33.250 |   298555.825
  298555.775 |       25.057 |   298580.832
  298579.853 |       25.483 |   298605.335
  298603.371 |        0.202 |   298603.573
  298603.133 |       24.849 |   298627.982
  298627.780 |        0.238 |   298628.018
  298627.611 |        2.175 |   298629.786
  298616.403 |       22.445 |   298638.848
  298637.030 |       25.166 |   298662.197
  298661.849 |       25.156 |   298687.006
  298684.439 |       25.151 |   298709.590
  298706.276 |       25.242 |   298731.519
  298730.132 |       25.115 |   298755.247
  298753.249 |       25.110 |   298778.359
  298776.899 |       25.085 |   298801.984
  298798.709 |       25.009 |   298823.718
  298821.935 |       25.251 |   298847.186
  298842.314 |       25.046 |   298867.360
  298866.825 |       25.038 |   298891.863
  298887.016 |       25.076 |   298912.093
  298911.752 |        1.700 |   298913.452
  298912.647 |       31.764 |   298944.412
  298941.584 |       25.136 |   298966.721
  298966.566 |       24.994 |   298991.560
  298991.649 |       25.170 |   299016.819
  299008.149 |       25.142 |   299033.291
  299029.773 |       24.949 |   299054.722
  299030.393 |       25.055 |   299055.447
  299054.932 |       25.025 |   299079.957
  299078.457 |       25.154 |   299103.611
  299101.194 |       24.939 |   299126.134
  299125.844 |       25.181 |   299151.025
  299151.049 |       33.399 |   299184.448
  299182.012 |       33.509 |   299215.521
  299213.148 |       33.539 |   299246.688
  299240.133 |       33.498 |   299273.631
  299271.718 |       33.337 |   299305.055
  299304.409 |       33.357 |   299337.767
  299335.510 |       33.343 |   299368.852
  299364.204 |        1.765 |   299365.969
  299365.277 |        0.204 |   299365.481
  299363.850 |       31.388 |   299395.238
  299394.544 |       33.496 |   299428.040
  299426.547 |       33.442 |   299459.989
  299455.781 |       33.330 |   299489.111
  299484.135 |       33.392 |   299517.527
  299515.713 |       33.495 |   299549.208
  299544.318 |       33.471 |   299577.789
  299577.797 |       33.553 |   299611.351
  299611.286 |       33.485 |   299644.771
  299644.273 |       33.453 |   299677.726
  299676.325 |       33.541 |   299709.866
  299708.191 |       33.394 |   299741.585
  299738.722 |       33.340 |   299772.062
  299770.566 |       33.447 |   299804.013
  299802.446 |      535.241 |   300337.688
  300335.547 |        1.816 |   300337.363
  300336.722 |       23.198 |   300359.920
  300359.837 |       25.060 |   300384.897
  300384.815 |       25.182 |   300409.997
  300408.981 |       24.944 |   300433.925
  300423.917 |       25.162 |   300449.079
  300448.824 |       25.196 |   300474.020
  300471.548 |       25.136 |   300496.684
  300494.009 |       25.103 |   300519.113
  300517.929 |        1.885 |   300519.814
  300518.741 |       23.259 |   300542.000
  300539.001 |       25.166 |   300564.167
  300563.957 |       25.044 |   300589.000
  300587.053 |       25.041 |   300612.094
  300612.139 |       25.115 |   300637.254
  300631.292 |       24.992 |   300656.284
  300655.720 |       25.138 |   300680.858
  300679.844 |        0.242 |   300680.086
  300675.833 |       24.900 |   300700.733
  300695.753 |       25.027 |   300720.780
  300719.760 |       25.152 |   300744.912
  300741.908 |       25.111 |   300767.019
  300766.924 |        0.203 |   300767.127
  300762.402 |       24.749 |   300787.151
  300786.290 |       24.925 |   300811.215
  300810.496 |       25.299 |   300835.794
  300831.365 |       24.941 |   300856.306
  300856.028 |       25.171 |   300881.199
  300880.667 |        0.163 |   300880.830
  300878.406 |       33.226 |   300911.631
  300905.920 |       25.082 |   300931.002
  300930.573 |       25.006 |   300955.579
  300955.500 |       33.494 |   300988.993
  300987.112 |       33.277 |   301020.389
  301019.974 |       33.806 |   301053.780
  301052.037 |       33.285 |   301085.322
  301082.982 |       33.548 |   301116.530
  301114.209 |        2.066 |   301116.276
  301112.039 |       31.331 |   301143.369
  301141.925 |       33.438 |   301175.362
  301169.420 |       33.428 |   301202.848
  301202.079 |       33.457 |   301235.536
  301235.087 |       33.412 |   301268.499
  301268.416 |       33.390 |   301301.806
  301301.340 |       33.463 |   301334.803
  301331.610 |       33.443 |   301365.053
  301349.162 |       33.411 |   301382.574
  301379.669 |       33.510 |   301413.179
  301412.103 |       33.308 |   301445.410
  301445.258 |       33.390 |   301478.648
  301476.249 |       33.383 |   301509.632
  301493.122 |       33.455 |   301526.576
  301526.098 |       33.335 |   301559.434
  301558.361 |       33.300 |   301591.662
  301590.102 |       33.454 |   301623.555
  301620.263 |       33.470 |   301653.733
  301653.624 |       33.385 |   301687.009
  301685.360 |        0.277 |   301685.637
  301681.638 |       33.168 |   301714.806
  301710.637 |       33.425 |   301744.062
  301742.532 |       33.550 |   301776.082
  301772.138 |       33.263 |   301805.401
  301804.152 |       33.521 |   301837.672
  301837.639 |       33.498 |   301871.137
  301868.393 |       33.267 |   301901.660
  301895.725 |       33.346 |   301929.071
  301928.170 |       33.450 |   301961.620
  301961.639 |       33.573 |   301995.212
  301989.771 |        0.246 |   301990.016
  301985.579 |       33.106 |   302018.686
  302018.717 |        1.744 |   302020.461
  302019.641 |       31.731 |   302051.373
  302051.343 |       25.025 |   302076.368
  302073.662 |       25.078 |   302098.739
  302098.253 |       25.209 |   302123.461
  302121.361 |       25.144 |   302146.506
  302145.097 |       25.241 |   302170.338
  302161.733 |       24.989 |   302186.722
  302186.136 |       25.216 |   302211.352
  302208.132 |       25.138 |   302233.269
  302232.755 |       25.137 |   302257.892
  302252.584 |       25.188 |   302277.773
  302276.276 |       25.144 |   302301.420
  302301.382 |       25.182 |   302326.564
  302323.201 |       25.122 |   302348.323
  302346.708 |       25.120 |   302371.828
  302368.541 |       25.175 |   302393.716
  302391.950 |       25.187 |   302417.137
  302412.347 |       25.204 |   302437.551
  302435.022 |       25.010 |   302460.032
  302459.325 |       25.188 |   302484.513
  302481.951 |       25.088 |   302507.039
  302503.763 |       25.212 |   302528.975
  302526.863 |       25.098 |   302551.961
  302551.927 |       25.212 |   302577.139
  302575.171 |        0.220 |   302575.392
  302575.004 |       24.784 |   302599.789
  302595.957 |       25.220 |   302621.178
  302609.359 |       25.107 |   302634.467
  302633.550 |       25.070 |   302658.620
  302657.942 |       25.054 |   302682.997
  302678.344 |       33.486 |   302711.830
  302711.871 |       25.059 |   302736.930
  302734.783 |       33.502 |   302768.285
  302766.730 |       33.280 |   302800.010
  302799.835 |       33.605 |   302833.439
  302833.425 |       33.367 |   302866.792
  302866.263 |       33.610 |   302899.873
  302897.098 |       33.262 |   302930.360
  302929.344 |       33.587 |   302962.931
  302961.494 |       33.503 |   302994.997
  302990.753 |       33.401 |   303024.155
  303024.190 |        1.815 |   303026.004
  303021.300 |       31.391 |   303052.691
  303045.204 |       33.562 |   303078.766
  303078.741 |       33.466 |   303112.207
  303109.458 |       33.402 |   303142.860
  303138.276 |       33.256 |   303171.532
  303170.567 |       33.603 |   303204.171
  303203.817 |       33.381 |   303237.197
  303236.807 |       33.393 |   303270.200
  303267.886 |       33.344 |   303301.229
  303298.512 |       33.367 |   303331.879
  303331.620 |       33.465 |   303365.085
  303364.715 |       33.691 |   303398.406
  303394.892 |       33.477 |   303428.369
  303427.981 |       33.341 |   303461.322
  303460.349 |       33.407 |   303493.756
  303487.924 |       33.554 |   303521.478
  303517.753 |       33.479 |   303551.232
  303550.540 |       33.430 |   303583.971
  303583.757 |       33.439 |   303617.196
  303615.562 |       33.525 |   303649.087
  303638.807 |       33.370 |   303672.177
  303672.116 |        1.884 |   303674.000
  303670.811 |       31.554 |   303702.365
  303698.995 |       25.205 |   303724.200
  303721.971 |       25.139 |   303747.110
  303744.996 |       25.118 |   303770.114
  303769.314 |       25.035 |   303794.349
  303793.679 |       25.136 |   303818.815
  303816.031 |       25.022 |   303841.053
  303838.736 |       24.967 |   303863.703
  303859.955 |       25.234 |   303885.189
  303884.923 |       25.176 |   303910.098
  303909.033 |       24.954 |   303933.987
  303929.849 |       25.115 |   303954.964
  303953.045 |       25.059 |   303978.104
  303972.445 |       25.164 |   303997.609
  303996.154 |       24.923 |   304021.077
  304017.857 |       25.226 |   304043.082
  304042.369 |        0.262 |   304042.631
  304041.053 |       24.788 |   304065.841
  304062.660 |       25.141 |   304087.801
  304081.326 |       24.972 |   304106.298
  304104.398 |       25.106 |   304129.504
  304129.236 |       33.530 |   304162.766
  304160.587 |       25.111 |   304185.699
  304185.101 |       24.978 |   304210.079
  304207.047 |       25.105 |   304232.152
  304231.378 |       25.103 |   304256.481
  304254.652 |       25.077 |   304279.729
  304279.725 |       25.078 |   304304.803
  304304.668 |       25.070 |   304329.737
  304328.209 |       24.991 |   304353.200
  304349.157 |       25.006 |   304374.163
  304373.516 |       25.234 |   304398.750
  304396.592 |       33.473 |   304430.064
  304429.950 |        2.123 |   304432.073
  304431.688 |        0.179 |   304431.867
  304430.472 |       30.848 |   304461.320
  304454.812 |        1.879 |   304456.691
  304456.082 |       31.682 |   304487.764
  304487.059 |       33.557 |   304520.616
  304516.860 |        0.212 |   304517.073
  304515.629 |       33.153 |   304548.782
  304547.689 |        1.486 |   304549.175
  304545.085 |       32.008 |   304577.093
  304575.317 |        0.189 |   304575.505
  304568.454 |       33.058 |   304601.512
  304595.073 |       33.488 |   304628.561
  304624.783 |       33.472 |   304658.255
  304655.468 |       33.408 |   304688.876
  304686.979 |       33.436 |   304720.415
  304717.520 |       33.379 |   304750.900
  304736.593 |       33.447 |   304770.040
  304766.092 |       33.380 |   304799.471
  304797.846 |       33.484 |   304831.330
  304828.300 |       33.359 |   304861.659
  304861.525 |       33.528 |   304895.053
  304891.573 |        0.188 |   304891.761
  304888.697 |       33.069 |   304921.766
  304917.691 |       33.498 |   304951.189
  304951.068 |       33.384 |   304984.452
  304983.822 |       33.457 |   305017.279
  305012.396 |       33.478 |   305045.874
  305043.754 |       33.468 |   305077.221
  305075.016 |       33.283 |   305108.299
  305105.524 |       33.421 |   305138.945
  305133.255 |       33.583 |   305166.838
  305166.867 |       33.348 |   305200.215
  305196.080 |       33.561 |   305229.641
  305227.745 |       33.491 |   305261.236
  305256.333 |       33.292 |   305289.625
  305289.177 |       33.428 |   305322.605
  305322.146 |       33.408 |   305355.555
  305355.239 |       33.540 |   305388.780
  305386.181 |       24.996 |   305411.177
  305410.537 |        0.216 |   305410.753
  305399.906 |       24.871 |   305424.777
  305419.694 |       25.087 |   305444.781
  305443.760 |       25.041 |   305468.801
  305466.730 |       25.213 |   305491.943
  305489.680 |        0.186 |   305489.866
  305489.873 |       24.866 |   305514.740
  305511.761 |       24.977 |   305536.738
  305536.304 |       25.152 |   305561.455
  305551.439 |       25.050 |   305576.489
  305576.280 |       25.016 |   305601.297
  305599.430 |       24.985 |   305624.415
  305624.026 |       33.524 |   305657.550
  305655.085 |       25.383 |   305680.468
  305678.180 |       25.204 |   305703.384
  305702.803 |       25.030 |   305727.833
  305726.168 |       25.073 |   305751.241
  305751.139 |       25.082 |   305776.222
  305775.485 |       25.168 |   305800.653
  305794.423 |       25.119 |   305819.542
  305815.508 |       25.226 |   305840.734
  305839.060 |       25.108 |   305864.168
  305860.449 |       25.161 |   305885.611
  305881.724 |       25.000 |   305906.725
  305904.248 |       25.182 |   305929.431
  305924.279 |       25.216 |   305949.495
  305948.968 |       24.980 |   305973.949
  305970.550 |        0.221 |   305970.771
  305968.057 |       33.205 |   306001.261
  306000.956 |       24.947 |   306025.903
  306022.430 |       33.603 |   306056.034
  306055.950 |       33.460 |   306089.410
  306087.617 |       33.445 |   306121.062
  306118.657 |       33.452 |   306152.109
  306150.832 |       33.441 |   306184.274
  306183.201 |        0.191 |   306183.391
  306176.445 |       33.321 |   306209.766
  306209.691 |       33.270 |   306242.961
  306241.226 |        0.179 |   306241.405
  306241.050 |       33.257 |   306274.307
  306269.752 |       33.424 |   306303.176
  306302.461 |        1.810 |   306304.271
  306293.711 |       31.449 |   306325.160
  306322.138 |       33.338 |   306355.475
  306354.374 |       33.491 |   306387.864
  306387.213 |       33.450 |   306420.663
  306419.766 |       33.523 |   306453.289
  306448.483 |       33.477 |   306481.960
  306479.939 |       33.298 |   306513.237
  306512.078 |       33.392 |   306545.470
  306542.306 |       33.464 |   306575.770
  306575.185 |       33.416 |   306608.601
  306608.076 |       33.613 |   306641.689
  306637.157 |       33.379 |   306670.536
  306669.357 |       33.351 |   306702.708
  306702.414 |       33.499 |   306735.913
  306734.566 |       33.432 |   306767.998
  306765.550 |       33.309 |   306798.859
  306789.756 |       33.452 |   306823.208
  306822.570 |       33.608 |   306856.178
  306856.202 |       33.333 |   306889.535
  306888.092 |       33.557 |   306921.650
  306918.118 |       33.422 |   306951.540
  306951.072 |       24.984 |   306976.056
  306972.563 |       25.258 |   306997.821
  306994.204 |       24.930 |   307019.134
  307016.260 |       25.077 |   307041.337
  307040.658 |       25.091 |   307065.749
  307065.269 |       25.160 |   307090.430
  307089.109 |       25.230 |   307114.338
  307112.214 |       24.966 |   307137.179
  307136.474 |       25.017 |   307161.491
  307155.833 |       25.163 |   307180.996
  307178.618 |       24.936 |   307203.554
  307203.614 |        1.895 |   307205.509
  307203.839 |       23.124 |   307226.963
  307226.867 |       25.169 |   307252.036
  307248.987 |       25.014 |   307274.002
  307270.025 |       25.022 |   307295.047
  307292.970 |       25.010 |   307317.980
  307316.488 |       25.116 |   307341.604
  307340.895 |       25.174 |   307366.069
  307364.105 |       24.958 |   307389.063
  307387.961 |       25.201 |   307413.162
  307413.090 |       25.072 |   307438.162
  307437.746 |       25.182 |   307462.928
  307460.691 |       25.117 |   307485.809
  307485.231 |       50.184 |   307535.415
  307534.496 |       25.085 |   307559.581
  307556.099 |       25.233 |   307581.332
  307581.172 |       33.466 |   307614.638
  307611.741 |       25.022 |   307636.763
  307635.906 |       33.524 |   307669.430
  307668.660 |       33.570 |   307702.231
  307701.259 |       33.394 |   307734.652
  307733.011 |       33.392 |   307766.403
  307766.039 |       33.361 |   307799.399
  307797.673 |       33.380 |   307831.053
  307829.030 |       33.545 |   307862.575
  307860.834 |        1.752 |   307862.586
  307862.512 |       31.536 |   307894.047
  307892.646 |       33.489 |   307926.135
  307925.139 |       33.466 |   307958.605
  307952.435 |       33.507 |   307985.942
  307981.991 |       33.586 |   308015.577
  308012.896 |       33.401 |   308046.297
  308044.983 |        0.254 |   308045.237
  308044.947 |       33.173 |   308078.120
  308076.282 |        0.219 |   308076.502
  308074.238 |       33.158 |   308107.396
  308106.963 |       33.446 |   308140.409
  308139.410 |       33.388 |   308172.798
  308172.554 |       33.382 |   308205.937
  308201.905 |       33.466 |   308235.371
  308234.538 |       33.478 |   308268.016
  308267.225 |       33.322 |   308300.548
  308298.999 |       33.489 |   308332.488
  308331.365 |       33.555 |   308364.920
  308360.039 |        2.128 |   308362.167
  308358.798 |       31.113 |   308389.911
  308389.840 |       33.496 |   308423.337
  308421.881 |       33.286 |   308455.168
  308453.497 |       33.502 |   308486.998
  308486.607 |       33.472 |   308520.079
  308515.080 |       33.332 |   308548.412
  308544.643 |       33.336 |   308577.979
  308576.539 |       33.488 |   308610.027
  308605.048 |       33.466 |   308638.514
  308633.985 |       33.446 |   308667.431
  308666.695 |       33.443 |   308700.139
  308696.276 |       25.066 |   308721.342
  308716.643 |       25.146 |   308741.789
  308739.441 |       25.018 |   308764.459
  308764.101 |       25.132 |   308789.233
  308788.869 |       25.030 |   308813.899
  308811.422 |       25.088 |   308836.510
  308835.458 |       24.998 |   308860.456
  308854.807 |       25.083 |   308879.890
  308879.307 |       25.145 |   308904.452
  308902.377 |       25.219 |   308927.596
  308925.996 |       25.142 |   308951.137
  308950.751 |       25.181 |   308975.932
  308975.362 |       25.046 |   309000.408
  309000.078 |       25.046 |   309025.125
  309024.927 |       25.048 |   309049.975
  309049.157 |       25.183 |   309074.340
  309072.961 |        0.205 |   309073.166
  309072.913 |       24.972 |   309097.886
  309097.219 |        0.186 |   309097.405
  309095.921 |       24.874 |   309120.795
  309116.456 |       25.055 |   309141.511
  309141.245 |      845.285 |   309986.530
  309983.241 |       33.379 |   310016.620
  310015.147 |       33.481 |   310048.628
  310048.272 |       33.302 |   310081.575
  310080.355 |       33.309 |   310113.664
  310110.699 |        0.183 |   310110.882
  310103.268 |       33.244 |   310136.512
  310134.558 |       33.514 |   310168.072
  310165.443 |       33.511 |   310198.954
  310197.240 |       33.331 |   310230.571
  310230.434 |       33.509 |   310263.943
  310261.769 |       33.378 |   310295.147
  310294.465 |       33.492 |   310327.956
  310319.777 |       33.511 |   310353.288
  310349.468 |       33.229 |   310382.697
  310376.413 |       33.402 |   310409.815
  310404.773 |       33.498 |   310438.271
  310435.999 |       33.430 |   310469.428
  310467.462 |       24.920 |   310492.382
  310487.488 |       25.101 |   310512.589
  310509.424 |        0.213 |   310509.637
  310507.579 |       24.956 |   310532.535
  310531.086 |       24.933 |   310556.018
  310555.862 |       25.144 |   310581.006
  310580.208 |       25.300 |   310605.508
  310603.559 |       25.031 |   310628.591
  310627.103 |       25.203 |   310652.306
  310648.235 |       25.232 |   310673.467
  310671.115 |       25.331 |   310696.446
  310695.705 |       25.152 |   310720.857
  310714.117 |        0.193 |   310714.310
